iter	Passed	Remaining
861	19568	3132
862	19589	3109
863	19610	3086
864	19638	3064
865	19661	3042
866	19682	3019
867	19711	2997
868	19730	2974
869	19751	2951
870	19767	2927
871	19796	2905
872	19846	2887
873	19872	2864
874	19916	2845
875	19957	2825
876	20012	2806
877	20054	2786
878	20098	2766
879	20155	2748
880	20185	2726
881	20207	2703
882	20237	2681
883	20259	2658
884	20286	2636
885	20320	2614
886	20344	2591
887	20365	2568
888	20387	2545
889	20417	2523
890	20459	2502
891	20489	2480
892	20503	2456
893	20514	2432
894	20526	2408
895	20541	2384
896	20556	2360
897	20570	2336
898	20584	2312
899	20598	2288
900	20613	2265
901	20630	2241
902	20646	2217
903	20663	2194
904	20679	2170
905	20695	2147
906	20709	2123
907	20726	2099
908	20741	2076
909	20758	2053
910	20783	2030
911	20810	2007
912	20835	1985
913	20859	1962
914	20887	1940
915	20915	1917
916	20948	1896
917	20987	1874
918	21010	1851
919	21032	1828
920	21065	1806
921	21094	1784
922	21129	1762
923	21154	1740
924	21185	1717
925	21207	1694
926	21236	1672
927	21269	1650
928	21297	1627
929	21334	1605
930	21380	1584
931	21417	1562
932	21458	1540
933	21477	1517
934	21500	1494
935	21519	1471
936	21537	1448
937	21553	1424
938	21568	1401
939	21582	1377
940	21602	1354
941	21615	1330
942	21629	1307
943	21643	1283
944	21658	1260
945	21677	1237
946	21698	1214
947	21717	1191
948	21734	1168
949	21749	1144
950	21766	1121
951	21783	1098
952	21801	1075
953	21820	1052
954	21837	1029
955	21858	1006
956	21875	982
957	21899	960
958	21915	936
959	21940	914
960	21965	891
961	22003	869
962	22028	846
963	22046	823
964	22066	800
965	22080	777
966	22097	754
967	22114	731
968	22131	708
969	22144	684
970	22161	661
971	22179	638
972	22193	615
973	22210	592
974	22232	570
975	22249	547
976	22273	524
977	22297	501
978	22310	478
979	22328	455
980	22341	432
981	22365	409
982	22382	387
983	22407	364
984	22429	341
985	22449	318
986	22468	295
987	22486	273
988	22512	250
989	22530	227
990	22545	204
991	22568	182
992	22585	159
993	22603	136
994	22617	113
995	22637	90
996	22656	68
997	22675	45
998	22691	22
999	22708	0
